name,위도,경도,전기차등록수,X500m충전소,X500m생활근린시설,주민등록세대,면수
숭의4동제1노외주차장,37.4592027,126.6552393,0.280981958,0.326388889,0.208271787,0.296097075,16
숭의4동제4노외주차장,37.460945,126.6539466,0.280981958,0.115885417,0.200886263,0.296097075,5
숭의4동제5노외주차장,37.46484006,126.6591272,0.280981958,0.326388889,0.155096012,0.296097075,42
"용현1,4동제10노외주차장",37.45189913,126.6658494,0.280981958,1,0.119645495,0.60755867,20
"용현1,4동제1노상주차장",37.4508289,126.6596307,0.280981958,0.494791667,0.137370753,0.60755867,80
"용현1,4동제2노상주차장",37.45022695,126.6608097,0.280981958,1,0.119645495,0.60755867,83
"용현1,4동제2노외주차장",37.45527673,126.6610061,0.280981958,0.2421875,0.116691285,0.60755867,32
"용현1,4동제3노상주차장",37.45144695,126.6515436,0.280981958,0.2421875,0.098966027,0.60755867,41
"용현1,4동제4노외주차장",37.45580431,126.6577351,0.280981958,0.2421875,0.180206795,0.60755867,29
"용현1,4동제5노외주차장",37.45233312,126.662524,0.280981958,0.326388889,0.143279173,0.60755867,9
"용현1,4동제7노외주차장",37.4483459,126.660361,0.280981958,0.157986111,0.079763663,0.60755867,30
"용현1,4동제9노외주차장",37.4558477,126.6625088,0.280981958,0.326388889,0.097488922,0.60755867,10
용현3동제1노상주차장,37.45843461,126.653818,0.280981958,0.191666667,0.243722304,0.60755867,74
용현3동제1노외주차장,37.45798296,126.6509617,0.280981958,0.115885417,0.279172821,0.60755867,38
용현3동제2노외주차장,37.45653263,126.6504579,0.280981958,0.115885417,0.268833087,0.60755867,41
용현3동제3노외주차장,37.45512402,126.6567501,0.280981958,0.191666667,0.215657312,0.60755867,25
용현3동제7노외주차장,37.4578483,126.652691,0.280981958,0.191666667,0.258493353,0.60755867,42
용현3동제8노외주차장,37.45807061,126.653811,0.280981958,0.191666667,0.251107829,0.60755867,17
용현3동제9노외주차장,37.45870716,126.653328,0.280981958,0.191666667,0.254062038,0.60755867,14
용현5동 제1노외주차장,37.45103273,126.638465,0.280981958,0.023263889,0.138847858,0.60755867,21
용현5동 제20노상주차장,37.45265511,126.6316062,0.280981958,0.115885417,0.097488922,0.60755867,46
용현5동 제21노상주차장,37.45128716,126.6663918,0.280981958,1,0.128508124,0.60755867,21
용현5동 제2노외주차장,37.45201513,126.6450629,0.280981958,0.052734375,0.0605613,0.60755867,93
용현5동제12노상주차장,37.45301466,126.6383233,0.280981958,0.023263889,0.17872969,0.60755867,16
용현5동제13노상주차장,37.45190573,126.637552,0.280981958,0.052734375,0.171344165,0.60755867,15
용현5동제14노상주차장,37.44990741,126.6357881,0.280981958,0.022177419,0.122599705,0.60755867,33
용현5동제16노상주차장,37.45200856,126.6393088,0.280981958,0.052734375,0.135893648,0.60755867,17
용현5동제17노상주차장,37.4510174,126.6375042,0.280981958,0.025669643,0.155096012,0.60755867,29
용현5동제19노상주차장,37.44979847,126.6402364,0.280981958,0.016891892,0.081240768,0.60755867,32
용현5동제2노상주차장,37.4538254,126.6356619,0.280981958,0.031684028,0.174298375,0.60755867,20
용현5동제3노상주차장,37.4526255,126.6341263,0.280981958,0.061755952,0.165435746,0.60755867,29
용현5동제5노상주차장,37.4544316,126.6369906,0.280981958,0.02020202,0.184638109,0.60755867,18
용현5동제6노상주차장,37.4530102,126.635572,0.280981958,0.031684028,0.17282127,0.60755867,23
용현5동제7노상주차장,37.451245,126.6342034,0.280981958,0.035511364,0.150664697,0.60755867,28
용현5동제9노상주차장,37.4530007,126.6373052,0.280981958,0.031684028,0.1816839,0.60755867,20
제물포남광장,37.4659308,126.6566742,0.280981958,0.494791667,0.138847858,0.296097075,18
제물포북광장,37.46719244,126.656286,0.280981958,0.494791667,0.131462334,0.356038369,74
주안1동제1노상주차장,37.461241,126.6805888,0.280981958,0.033514493,0.324963072,0.946799994,14
주안1동제1노외주차장,37.46444788,126.6773413,0.280981958,0.028445513,0.203840473,0.946799994,109
